location,date,new_cases
United Kingdom,2020-07-21,445.0
United Kingdom,2020-07-22,563.0
United Kingdom,2020-07-23,779.0
United Kingdom,2020-07-24,769.0
United Kingdom,2020-07-25,770.0
United Kingdom,2020-07-26,750.0
United Kingdom,2020-07-27,688.0
United Kingdom,2020-07-28,553.0
United Kingdom,2020-07-29,802.0
United Kingdom,2020-07-30,847.0
United Kingdom,2020-07-31,883.0
United Kingdom,2020-08-01,769.0
United Kingdom,2020-08-02,747.0
United Kingdom,2020-08-03,942.0
United Kingdom,2020-08-04,675.0
United Kingdom,2020-08-05,906.0
United Kingdom,2020-08-06,964.0
United Kingdom,2020-08-07,900.0
United Kingdom,2020-08-08,765.0
United Kingdom,2020-08-09,1113.0
United Kingdom,2020-08-10,818.0
United Kingdom,2020-08-11,1150.0
United Kingdom,2020-08-12,1039.0
United Kingdom,2020-08-13,1148.0
United Kingdom,2020-08-14,1461.0
United Kingdom,2020-08-15,1042.0
United Kingdom,2020-08-16,1111.0
